Territory Name,created_timestamp,address_id,group,alias,address,address_2,member_id,first_name,last_name,email,phone,city,state,country_id,zipcode,lat,lng,curbside_lat,curbside_lng,schedule,schedule_blacklist,in_route_count,last_visited_timestamp,last_routed_timestamp,time_window_start,time_window_end,time_window_start_2,time_window_end_2,service_time,timezone,color,address_icon,address_stop_type,address_cube,address_pieces,address_reference_no,address_revenue,address_weight,address_priority,address_customer_po
,,,,,Unknown address 3055,,,,,,,,,,,40.641721,-73.922917,40.641721,-73.922917,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3637,,,,,,,,,,,40.641124,-73.922694,40.641124,-73.922694,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3582,,,,,,,,,,,40.641151,-73.922508,40.641151,-73.922508,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3532,,,,,,,,,,,40.641177,-73.922278,40.641177,-73.922278,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 1353,,,,,,,,,,,40.637954,-74.009016,40.637954,-74.009016,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 96,,,,,,,,,,,40.640532,-73.923236,40.640532,-73.923236,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3743,,,,,,,,,,,40.641081,-73.922502,40.641081,-73.922502,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3394,,,,,,,,,,,40.641253,-73.922599,40.641253,-73.922599,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3692,,,,,,,,,,,40.641098,-73.923168,40.641098,-73.923168,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3641,,,,,,,,,,,40.641121,-73.922691,40.641121,-73.922691,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4214,,,,,,,,,,,40.640882,-73.922071,40.640882,-73.922071,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3531,,,,,,,,,,,40.641177,-73.92228,40.641177,-73.92228,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3749,,,,,,,,,,,40.641079,-73.922468,40.641079,-73.922468,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4448,,,,,,,,,,,40.640714,-73.92276,40.640714,-73.92276,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4132,,,,,,,,,,,40.640922,-73.922725,40.640922,-73.922725,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3523,,,,,,,,,,,40.64118,-73.922439,40.64118,-73.922439,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3756,,,,,,,,,,,40.641079,-73.922723,40.641079,-73.922723,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3482,,,,,,,,,,,40.641202,-73.922587,40.641202,-73.922587,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3308,,,,,,,,,,,40.641322,-73.922478,40.641322,-73.922478,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3858,,,,,,,,,,,40.641034,-73.922851,40.641034,-73.922851,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3893,,,,,,,,,,,40.641016,-73.922892,40.641016,-73.922892,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3519,,,,,,,,,,,40.641183,-73.922621,40.641183,-73.922621,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3999,,,,,,,,,,,40.640983,-73.922716,40.640983,-73.922716,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 12,,,,,,,,,,,40.640642,-73.922718,40.640642,-73.922718,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4344,,,,,,,,,,,40.640807,-73.922809,40.640807,-73.922809,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3878,,,,,,,,,,,40.641027,-73.92276,40.641027,-73.92276,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4172,,,,,,,,,,,40.640907,-73.922854,40.640907,-73.922854,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4194,,,,,,,,,,,40.640895,-73.922667,40.640895,-73.922667,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 26,,,,,,,,,,,40.64063,-73.922843,40.64063,-73.922843,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 2984,,,,,,,,,,,40.585154,-73.926844,40.585154,-73.926844,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4402,,,,,,,,,,,40.640758,-73.92259,40.640758,-73.92259,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4174,,,,,,,,,,,40.640906,-73.922829,40.640906,-73.922829,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3863,,,,,,,,,,,40.641032,-73.9227,40.641032,-73.9227,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3953,,,,,,,,,,,40.640997,-73.922729,40.640997,-73.922729,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3810,,,,,,,,,,,40.64106,-73.922467,40.64106,-73.922467,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3350,,,,,,,,,,,40.64129,-73.922461,40.64129,-73.922461,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3721,,,,,,,,,,,40.64109,-73.922372,40.64109,-73.922372,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3648,,,,,,,,,,,40.641119,-73.922568,40.641119,-73.922568,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 2790,,,,,,,,,,,40.642387,-73.92584,40.642387,-73.92584,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3343,,,,,,,,,,,40.641295,-73.922478,40.641295,-73.922478,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3650,,,,,,,,,,,40.641117,-73.922614,40.641117,-73.922614,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3173,,,,,,,,,,,40.641499,-73.922545,40.641499,-73.922545,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3359,,,,,,,,,,,40.641285,-73.922425,40.641285,-73.922425,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3690,,,,,,,,,,,40.641099,-73.92273,40.641099,-73.92273,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3698,,,,,,,,,,,40.641097,-73.922181,40.641097,-73.922181,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3594,,,,,,,,,,,40.641146,-73.922227,40.641146,-73.922227,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4099,,,,,,,,,,,40.640937,-73.922851,40.640937,-73.922851,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 254,,,,,,,,,,,40.640255,-73.922584,40.640255,-73.922584,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3797,,,,,,,,,,,40.641064,-73.922638,40.641064,-73.922638,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3345,,,,,,,,,,,40.641292,-73.922547,40.641292,-73.922547,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3755,,,,,,,,,,,40.641079,-73.922661,40.641079,-73.922661,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4430,,,,,,,,,,,40.640737,-73.922835,40.640737,-73.922835,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4354,,,,,,,,,,,40.640802,-73.922556,40.640802,-73.922556,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3626,,,,,,,,,,,40.64113,-73.922624,40.64113,-73.922624,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4038,,,,,,,,,,,40.640968,-73.922864,40.640968,-73.922864,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 237,,,,,,,,,,,40.640285,-73.921931,40.640285,-73.921931,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 1881,,,,,,,,,,,40.636753,-73.926148,40.636753,-73.926148,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3660,,,,,,,,,,,40.641113,-73.922361,40.641113,-73.922361,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4210,,,,,,,,,,,40.640885,-73.922855,40.640885,-73.922855,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4285,,,,,,,,,,,40.640848,-73.922566,40.640848,-73.922566,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 40,,,,,,,,,,,40.640611,-73.923055,40.640611,-73.923055,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4176,,,,,,,,,,,40.640904,-73.922819,40.640904,-73.922819,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3411,,,,,,,,,,,40.641244,-73.922597,40.641244,-73.922597,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3959,,,,,,,,,,,40.640994,-73.922873,40.640994,-73.922873,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3701,,,,,,,,,,,40.641095,-73.922323,40.641095,-73.922323,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4349,,,,,,,,,,,40.640805,-73.922949,40.640805,-73.922949,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 2525,,,,,,,,,,,40.687666,-73.991029,40.687666,-73.991029,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3745,,,,,,,,,,,40.64108,-73.922448,40.64108,-73.922448,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4340,,,,,,,,,,,40.64081,-73.923275,40.64081,-73.923275,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3827,,,,,,,,,,,40.641051,-73.922796,40.641051,-73.922796,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4300,,,,,,,,,,,40.640837,-73.92208,40.640837,-73.92208,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 2140,,,,,,,,,,,40.636148,-74.008388,40.636148,-74.008388,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 46,,,,,,,,,,,40.640608,-73.923021,40.640608,-73.923021,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4068,,,,,,,,,,,40.640952,-73.922367,40.640952,-73.922367,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4056,,,,,,,,,,,40.64096,-73.922876,40.64096,-73.922876,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3941,,,,,,,,,,,40.641,-73.922648,40.641,-73.922648,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4179,,,,,,,,,,,40.640902,-73.922431,40.640902,-73.922431,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3392,,,,,,,,,,,40.641254,-73.92239,40.641254,-73.92239,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 164,,,,,,,,,,,40.640401,-73.921827,40.640401,-73.921827,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 267,,,,,,,,,,,40.678294,-73.948129,40.678294,-73.948129,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4032,,,,,,,,,,,40.640972,-73.922744,40.640972,-73.922744,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4036,,,,,,,,,,,40.640971,-73.922742,40.640971,-73.922742,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4293,,,,,,,,,,,40.640844,-73.922892,40.640844,-73.922892,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4434,,,,,,,,,,,40.640733,-73.923156,40.640733,-73.923156,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 118,,,,,,,,,,,40.640492,-73.922644,40.640492,-73.922644,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3438,,,,,,,,,,,40.641228,-73.922541,40.641228,-73.922541,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3310,,,,,,,,,,,40.641321,-73.922472,40.641321,-73.922472,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3742,,,,,,,,,,,40.641081,-73.92235,40.641081,-73.92235,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4102,,,,,,,,,,,40.640936,-73.923348,40.640936,-73.923348,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3835,,,,,,,,,,,40.641046,-73.922922,40.641046,-73.922922,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3879,,,,,,,,,,,40.641026,-73.921988,40.641026,-73.921988,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3839,,,,,,,,,,,40.641044,-73.922484,40.641044,-73.922484,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3470,,,,,,,,,,,40.641209,-73.922817,40.641209,-73.922817,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 1236,,,,,,,,,,,40.63819,-74.012218,40.63819,-74.012218,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3160,,,,,,,,,,,40.641514,-73.922748,40.641514,-73.922748,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 288,,,,,,,,,,,40.64021,-73.988119,40.64021,-73.988119,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3728,,,,,,,,,,,40.641086,-73.922363,40.641086,-73.922363,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3440,,,,,,,,,,,40.641226,-73.922658,40.641226,-73.922658,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 2709,,,,,,,,,,,40.642633,-73.923612,40.642633,-73.923612,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3915,,,,,,,,,,,40.641008,-73.922474,40.641008,-73.922474,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3223,,,,,,,,,,,40.641421,-73.922191,40.641421,-73.922191,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3697,,,,,,,,,,,40.641097,-73.922864,40.641097,-73.922864,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4075,,,,,,,,,,,40.640947,-73.922403,40.640947,-73.922403,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4037,,,,,,,,,,,40.64097,-73.922512,40.64097,-73.922512,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4085,,,,,,,,,,,40.640942,-73.922589,40.640942,-73.922589,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 170,,,,,,,,,,,40.640392,-73.922618,40.640392,-73.922618,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4347,,,,,,,,,,,40.640805,-73.922351,40.640805,-73.922351,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3638,,,,,,,,,,,40.641124,-73.92267,40.641124,-73.92267,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3608,,,,,,,,,,,40.641141,-73.922295,40.641141,-73.922295,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3572,,,,,,,,,,,40.641156,-73.922255,40.641156,-73.922255,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4222,,,,,,,,,,,40.64088,-73.923006,40.64088,-73.923006,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3356,,,,,,,,,,,40.641286,-73.921669,40.641286,-73.921669,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3338,,,,,,,,,,,40.641298,-73.9225,40.641298,-73.9225,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3673,,,,,,,,,,,40.641108,-73.922583,40.641108,-73.922583,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 69,,,,,,,,,,,40.640573,-73.923079,40.640573,-73.923079,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3110,,,,,,,,,,,40.583695,-73.958496,40.583695,-73.958496,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4086,,,,,,,,,,,40.640942,-73.922718,40.640942,-73.922718,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4059,,,,,,,,,,,40.640959,-73.92285,40.640959,-73.92285,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3322,,,,,,,,,,,40.641314,-73.92262,40.641314,-73.92262,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4254,,,,,,,,,,,40.640866,-73.922501,40.640866,-73.922501,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4046,,,,,,,,,,,40.640965,-73.922575,40.640965,-73.922575,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3216,,,,,,,,,,,40.641429,-73.922448,40.641429,-73.922448,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 204,,,,,,,,,,,40.64033,-73.922818,40.64033,-73.922818,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3992,,,,,,,,,,,40.640987,-73.92285,40.640987,-73.92285,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 18,,,,,,,,,,,40.640637,-73.92342,40.640637,-73.92342,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 76,,,,,,,,,,,40.640562,-73.923051,40.640562,-73.923051,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3784,,,,,,,,,,,40.64107,-73.922362,40.64107,-73.922362,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3766,,,,,,,,,,,40.641076,-73.922917,40.641076,-73.922917,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3236,,,,,,,,,,,40.641397,-73.922411,40.641397,-73.922411,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4130,,,,,,,,,,,40.640924,-73.922642,40.640924,-73.922642,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3108,,,,,,,,,,,40.641584,-73.9219,40.641584,-73.9219,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4091,,,,,,,,,,,40.640941,-73.922768,40.640941,-73.922768,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3488,,,,,,,,,,,40.641199,-73.922366,40.641199,-73.922366,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3564,,,,,,,,,,,40.613202,-73.944259,40.613202,-73.944259,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3834,,,,,,,,,,,40.641047,-73.922698,40.641047,-73.922698,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4158,,,,,,,,,,,40.64091,-73.922835,40.64091,-73.922835,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3931,,,,,,,,,,,40.641003,-73.922666,40.641003,-73.922666,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3840,,,,,,,,,,,40.641044,-73.92284,40.641044,-73.92284,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3490,,,,,,,,,,,40.641197,-73.922552,40.641197,-73.922552,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4142,,,,,,,,,,,40.640918,-73.922572,40.640918,-73.922572,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 2422,,,,,,,,,,,40.618452,-74.033366,40.618452,-74.033366,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 2996,,,,,,,,,,,40.641853,-73.922216,40.641853,-73.922216,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4418,,,,,,,,,,,40.640746,-73.922856,40.640746,-73.922856,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3899,,,,,,,,,,,40.641014,-73.922728,40.641014,-73.922728,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 257,,,,,,,,,,,40.640251,-73.922014,40.640251,-73.922014,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 2838,,,,,,,,,,,40.642261,-73.953066,40.642261,-73.953066,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3822,,,,,,,,,,,40.641055,-73.922746,40.641055,-73.922746,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3771,,,,,,,,,,,40.641075,-73.922577,40.641075,-73.922577,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4120,,,,,,,,,,,40.640929,-73.922389,40.640929,-73.922389,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3639,,,,,,,,,,,40.641124,-73.922738,40.641124,-73.922738,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3875,,,,,,,,,,,40.641028,-73.922464,40.641028,-73.922464,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4157,,,,,,,,,,,40.640911,-73.922772,40.640911,-73.922772,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3381,,,,,,,,,,,40.641263,-73.922531,40.641263,-73.922531,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4432,,,,,,,,,,,40.640736,-73.922578,40.640736,-73.922578,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4150,,,,,,,,,,,40.640915,-73.922594,40.640915,-73.922594,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4216,,,,,,,,,,,40.640881,-73.923085,40.640881,-73.923085,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4257,,,,,,,,,,,40.640864,-73.922645,40.640864,-73.922645,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3611,,,,,,,,,,,40.64114,-73.922314,40.64114,-73.922314,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3300,,,,,,,,,,,40.641327,-73.922547,40.641327,-73.922547,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3256,,,,,,,,,,,40.641369,-73.922756,40.641369,-73.922756,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 203,,,,,,,,,,,40.640331,-73.923121,40.640331,-73.923121,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3084,,,,,,,,,,,40.584023,-73.94966,40.584023,-73.94966,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3481,,,,,,,,,,,40.641202,-73.922455,40.641202,-73.922455,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4052,,,,,,,,,,,40.640962,-73.922862,40.640962,-73.922862,,,,,,,,,,,,,,DELIVERY,,,,,,,
