Address ID,Is Depot,group,Adsress alias,Address,Member ID,First name,Last name,E-mail,Phone,Latitude,Longitude,Curbside latitude,Curbside longitude,Priority,Sequence #,Address stop type,Customer PO,Invoice NO,Reference NO,Order NO,Weight,Cost,Revenue,Cube,Pieces,Account NO,Time window start,Time window end,Time window start 2,Time window end 2,Service time,Custom data,Tracking Number,Contact ID,Order ID,Notes
,,,,"2707 7TH ST, Louisville, KY, 40215",,,,,,38.212438,-85.785082,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"2014 KENDALL LN, Louisville, KY, 40216",,,,,,38.179394,-85.826668,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"612 N 39TH ST, Louisville, KY, 40212",,,,,,38.273354,-85.812012,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"2215 ROWAN ST, Louisville, KY, 40212",,,,,,38.261703,-85.786781,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"1826 W. KENTUCKY ST, Louisville, KY, 40210",,,,,,38.241611,-85.78653,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,TRUE,,,"1810 GREGG AVE, Louisville, KY, 40210",,,,,,38.224716,-85.796211,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"4103 BURRRELL DRIVE, Louisville, KY, 40216",,,,,,38.191753,-85.825836,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"359 SOUTHWESTERN PKWY, Louisville, KY, 40212",,,,,,38.259903,-85.823463,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"2407 W CHESTNUT ST, Louisville, KY, 40211",,,,,,38.252781,-85.792109,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"225 S 22ND ST, Louisville, KY, 40212",,,,,,38.257616,-85.786658,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"1404 MCCOY AVE, Louisville, KY, 40215",,,,,,38.202122,-85.786072,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"117 FOUNT LANDING CT, Louisville, KY, 40212",,,,,,38.270061,-85.799438,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"5504 SHOREWOOD DRIVE, Louisville, KY, 40214",,,,,,38.145851,-85.7798,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"1406 CENTRAL AVE, Louisville, KY, 40208",,,,,,38.211025,-85.780251,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"901 W WHITNEY AVE, Louisville, KY, 40215",,,,,,38.194115,-85.77494,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"2109 SCHAFFNER AVE, Louisville, KY, 40210",,,,,,38.219699,-85.779363,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"2906 DIXIE HWY, Louisville, KY, 40216",,,,,,38.209278,-85.798653,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"814 WWHITNEY AVE, Louisville, KY, 40215",,,,,,38.193596,-85.773521,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"1610 ALGONQUIN PWKY, Louisville, KY, 40210",,,,,,38.222153,-85.784187,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"3524 WHEELER AVE, Louisville, KY, 40215",,,,,,38.195293,-85.788643,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"5009 NEW CUT RD, Louisville, KY, 40214",,,,,,38.165905,-85.779701,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"3122 ELLIOTT AVE, Louisville, KY, 40211",,,,,,38.251213,-85.804199,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"911 GAGEL AVE, Louisville, KY, 40216",,,,,,38.173512,-85.807854,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"4020 GARLAND AVE #lOOA, Louisville, KY, 40211",,,,,,38.246181,-85.818901,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"5231 MT HOLYOKE DR, Louisville, KY, 40216",,,,,,38.169369,-85.85704,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"1339 28TH S #2, Louisville, KY, 40211",,,,,,38.235275,-85.800156,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"836 S 36TH ST, Louisville, KY, 40211",,,,,,38.24651,-85.811234,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"2132 DUNCAN STREET, Louisville, KY, 40212",,,,,,38.262135,-85.785172,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"3529 WHEELER AVE, Louisville, KY, 40215",,,,,,38.195057,-85.787949,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"2829 DE MEL #11, Louisville, KY, 40214",,,,,,38.171662,-85.807271,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"1325 EARL AVENUE, Louisville, KY, 40215",,,,,,38.204556,-85.781555,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"3632 MANSLICK RD #10, Louisville, KY, 40215",,,,,,38.193542,-85.801147,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"637 S 41ST ST, Louisville, KY, 40211",,,,,,38.253632,-85.81897,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"3420 VIRGINIA AVENUE, Louisville, KY, 40211",,,,,,38.238693,-85.811386,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"3501 MALIBU CT APT 6, Louisville, KY, 40216",,,,,,38.166481,-85.825928,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"4912 DIXIE HWY, Louisville, KY, 40216",,,,,,38.170728,-85.826817,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"7720 DINGLEDELL RD, Louisville, KY, 40214",,,,,,38.162472,-85.792854,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"2123 RATCLIFFE AVE, Louisville, KY, 40210",,,,,,38.21978,-85.797615,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"1321 OAKWOOD AVE, Louisville, KY, 40215",,,,,,38.17704,-85.783829,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"2223 WEST KENTUCKY STREET, Louisville, KY, 40210",,,,,,38.242516,-85.790695,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"8025 GLIMMER WAY #3308, Louisville, KY, 40214",,,,,,38.131981,-85.77935,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"1155 S 28TH ST, Louisville, KY, 40211",,,,,,38.238621,-85.799911,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"840 IROQUOIS AVE, Louisville, KY, 40214",,,,,,38.166355,-85.779396,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"5573 BRUCE AVE, Louisville, KY, 40214",,,,,,38.145222,-85.779205,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"1727 GALLAGHER, Louisville, KY, 40210",,,,,,38.239334,-85.784882,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"1309 CATALPA ST APT 204, Louisville, KY, 40211",,,,,,38.236524,-85.801619,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"1330 ALGONQUIN PKWY, Louisville, KY, 40208",,,,,,38.219846,-85.777344,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"823 SUTCLIFFE, Louisville, KY, 40211",,,,,,38.246956,-85.811569,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"4405 CHURCHMAN AVENUE #2, Louisville, KY, 40215",,,,,,38.177768,-85.792545,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"3211 DUMESNIL ST #1, Louisville, KY, 40211",,,,,,38.237789,-85.807968,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"3904 WEWOKA AVE, Louisville, KY, 40212",,,,,,38.270367,-85.813118,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"660 SO. 42ND STREET, Louisville, KY, 40211",,,,,,38.252865,-85.822624,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"3619  LENTZ  AVE, Louisville, KY, 40215",,,,,,38.193249,-85.785492,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"4305  STOLTZ  CT, Louisville, KY, 40215",,,,,,38.178707,-85.787292,,,,,,,,,,,,,,,,,,,,0:05,,,,,
